pr_id,pr_title,pr_author,state,created_at,merged_at,body
65628,BUG: AreaPlot ymin baseline pin defeated by unrelated sharey'd axes,jbrockmendel,closed,2026-05-13T14:48:33Z,2026-05-13T17:17:25Z,"## Summary
- `AreaPlot._post_plot_logic` pins `ymin=0` for all-positive data unless the axes shares y with another; the check was `len(list(ax.get_shared_y_axes())) > 0`, which iterates the class-level matplotlib Grouper and returns `True` whenever any sharey'd group exists *anywhere in the process* — not just when `ax` itself is in one.
- With unrelated sharey'd axes alive elsewhere, pandas would silently skip the baseline pin and matplotlib's default 5% `axes.ymargin` would leave a gap below 0.
- Fixed by switching to `len(ax.get_shared_y_axes().get_siblings(ax)) > 1`, which asks the Grouper specifically about `ax`'s siblings.
- Surfaced as a flake on the ""Without PyArrow"" CI run on `test_area_lim`: the pyarrow-skipped test distribution occasionally co-located `test_area_lim` in the same xdist worker as a test that left sharey'd axes alive in the class-level Grouper, exactly reproducing the bug.

## Test plan
- [x] new `test_area_lim_unaffected_by_unrelated_sharey` deterministically reproduces the bug; verified it fails on the old check and passes on the new one
- [x] full `test_frame.py -k area` (33 tests) passes
- [x] pre-commit hooks pass

🤖 Generated with [Claude Code](https://claude.com/claude-code)"
65627,ENH: support dtype=complex64/complex128 in read_csv C engine (GH-9379),jbrockmendel,closed,2026-05-13T14:25:28Z,2026-05-13T16:47:22Z,"xref GH-9379

## Summary
- The python and pyarrow engines already accept `dtype={""col"": ""complex128""}` (and `complex64`); the C engine raised `TypeError: the dtype complex128 is not supported for parsing`. This adds a `dtype.kind == ""c""` branch to `_convert_with_dtype` in `parsers.pyx` that reads the column via `_string_convert` and casts with numpy. numpy parses both `""(1+2j)""` (the form `to_csv` writes) and bare `""1+2j""`.
- Empty cells become `nan+0j`, matching the python/pyarrow engines.
- `complex64`/`complex128` were also added to the `na_values` lookup table in `parsers.pyx` to satisfy the unconditional `na_values[arr.dtype]` lookup in `_maybe_upcast` — the value is unused on the complex path (no integer/bool sentinel masking needed) but the lookup would otherwise `KeyError`.
- New test covers all three engines (`all_parsers`), both dtypes, both `(1+2j)` and `1+2j` forms, the `to_csv` round-trip, and NA handling.

## Scope note
This is a partial resolution of GH-9379. The original issue also asked for `read_csv` to auto-infer complex dtype without an explicit `dtype` argument. That's intentionally **not** addressed here:

- Auto-inferring from `1+2j`-shaped tokens risks false positives on string columns that happen to match (e.g. product codes).
- It would add per-cell parse cost to every CSV read, even files with no complex columns.

So this PR makes `pd.read_csv(f, dtype={""col"": complex})` work uniformly across all engines. Auto-inference is left for a separate discussion. Leaving GH-9379 open intentionally — no `closes` keyword.

## Test plan
- [x] `pytest pandas/tests/io/parser/dtypes/test_dtypes_basic.py -k complex` — 24 new tests pass (8 scenarios × 3 engines).
- [x] `pytest pandas/tests/io/parser/dtypes/ pandas/tests/io/parser/test_c_parser_only.py` — 1267 passed, no regressions.
- [x] `pre-commit run --files <changed>` — all hooks pass.

🤖 Generated with [Claude Code](https://claude.com/claude-code)"
65625,TST: show actual ymin/ymax in test_area_lim flake,jbrockmendel,closed,2026-05-13T00:29:22Z,2026-05-13T01:23:00Z,"## Summary

- The ""Without PyArrow"" CI has been flaking on `test_area_lim` with a bare `AssertionError` on `assert ymin == 0` (and the analogous `assert ymax == 0` for the negative-data case), leaving no indication of the actual value.
- Add f-string messages so the next failure shows the offending `ymin` / `ymax` — this should tell us whether autoscale is slipping a small negative through, or whether something else is going on.
- Diagnostic-only — no behavior change.

## Test plan
- [x] pre-commit hooks pass
- [ ] Watch next ""Without PyArrow"" failure for the printed values"
65624,TYP: enable mypy checking for pandas.core.dtypes.missing,jbrockmendel,closed,2026-05-13T00:14:04Z,2026-05-13T17:18:19Z,"## Summary
- Annotate the 7 previously-untyped functions in ``pandas/core/dtypes/missing.py`` (``_isna``, ``array_equivalent``, ``infer_fill_value``, ``na_value_for_dtype``, ``remove_na_arraylike``, ``is_valid_na_for_dtype``)
- Drop ``pandas.core.dtypes.missing`` from the mypy override exemption list in ``pyproject.toml``
- ``remove_na_arraylike`` becomes generic via a local ``_ArrLikeT = TypeVar(..., ""Series"", ""Index"", np.ndarray)`` so the return type tracks the input
- Two surgical ``# type: ignore`` follow-ons (``algorithms.py``, ``series.py``) where ``na_value_for_dtype`` now returns ``Scalar`` instead of ``Any`` and conflicts with caller signatures

## Test plan
- [x] ``mypy pandas`` clean (1458 source files)
- [x] ``pyright`` clean on touched files
- [x] ``pre-commit`` clean
- [x] ``pandas/tests/dtypes/test_missing.py`` passes (304 tests)

🤖 Generated with [Claude Code](https://claude.com/claude-code)"
65623,DOC: explain why to prefer to_numpy/.array over .values,jbrockmendel,closed,2026-05-13T00:09:37Z,2026-05-13T16:51:18Z,"- closes #48425

Expands the warning on `DataFrame.values`, `Series.values`, and `Index.values` to spell out *why* `to_numpy` / `.array` are recommended, and adds short comparison examples so users can see the differences directly.

## Summary

- **`DataFrame.values`**: warning now notes that `to_numpy` exposes `dtype` / `copy` / `na_value`, and that the mutability of the result depends on the internal block layout (single block → read-only view, multi-block → writable copy that doesn't propagate). Added a small example contrasting `.values` with `to_numpy(na_value=-1)` and `to_numpy(dtype=""float32"", copy=True)`.
- **`Series.values`**: warning now notes that the return type depends on the dtype (ndarray for `int64` / `float64`, ExtensionArray for `category`, nullable `Int64`, string dtypes, etc.), and that tz-aware datetimes are converted to UTC and stripped of their timezone. Added examples contrasting `.values` with `to_numpy()` for strings and with `.array` for tz-aware datetimes.
- **`Index.values`**: same dtype-dependence warning, plus an example contrasting `IntervalIndex.values` (IntervalArray) with `to_numpy()` (object ndarray of `Interval`s).

## Test plan

- [x] Doctest examples verified to produce the documented output (11 examples in `DataFrame.values`, 6 in `Series.values`, 6 in `Index.values`).
- [x] Pre-commit hooks pass.

🤖 Generated with [Claude Code](https://claude.com/claude-code)"
65622,DOC: clarify header parameter in read_csv/read_table,jbrockmendel,closed,2026-05-12T22:48:25Z,2026-05-13T16:52:23Z,"closes #53673

Restructures the `header` parameter docstring in `read_csv` and `read_table` as a bulleted list defining each accepted value (`int`, `Sequence of int`, `None`, `'infer'`) in the order they appear in the type signature.

Addresses the clarity issues raised in GH-53673:

- `header=None` behavior is now explicitly defined.
- The 0-indexed convention and the interaction with `skip_blank_lines` / commented lines is stated up front, so the per-value bullets can reference ""line index"" unambiguously.
- The default `'infer'` behavior is described in terms of the other values *after* they are defined, not before.
- The reference to ""passing names explicitly"" is now an explicit reference to the `names` parameter.
- Detailed descriptions appear in the same order as the type signature.

The duplicate-renaming / `Unnamed: {i}` paragraph that follows is preserved unchanged.

## Test plan

- [x] `numpydoc.docscrape.NumpyDocString` parses both `read_csv` and `read_table` docstrings without error
- [x] `help(pd.read_csv)` renders cleanly
- [x] pre-commit hooks pass"
65621,DOC: document dict input to DataFrame.assign (GH-49817),jbrockmendel,closed,2026-05-12T22:45:40Z,2026-05-13T16:53:18Z,"closes #49817

## Summary
- Add `dict` to the documented value types in the `**kwargs` parameter description of `DataFrame.assign`, alongside callable / Series / scalar / array-like.
- Point readers to the existing Notes line (added in GH-64998) for alignment and broadcasting details, rather than duplicating them.
- Add a doctest example showing that a dict value is aligned to the DataFrame's index by its keys, with missing labels filled with NaN.

## Test plan
- [x] Doctests on `DataFrame.assign` (7 examples) pass locally
- [x] pre-commit hooks pass

🤖 Generated with [Claude Code](https://claude.com/claude-code)"
65619,DOC: clarify that to_parquet/to_orc path accepts remote URLs,jbrockmendel,closed,2026-05-12T22:38:38Z,2026-05-13T16:54:08Z,"closes #44976

## Summary
- Document that the `path` argument to `to_parquet` and `to_orc` accepts URLs (http, ftp, s3, gs, file), mirroring the existing wording in `read_parquet`. The previous text mentioned ""Root Directory path"" only, which led users to assume local-filesystem paths only. The `s3://` capability was previously only hinted at indirectly via `storage_options`.
- Updated both the functional API (`pandas.io.parquet.to_parquet`, `pandas.io.orc.to_orc`) and the method-bound copies on `DataFrame` so the rendered docs match in both places.
- Lowercased ""Root Directory"" → ""root directory"" since it isn't a proper noun.

## Test plan
- [x] `python -c ""import pandas as pd; print(pd.DataFrame.to_parquet.__doc__)""` renders the new paragraph correctly.
- [x] `python -c ""import pandas as pd; print(pd.DataFrame.to_orc.__doc__)""` renders the new paragraph correctly.
- [x] pre-commit hooks pass.

🤖 Generated with [Claude Code](https://claude.com/claude-code)"
65618,TYP: enable mypy checks for pandas._libs.algos,jbrockmendel,closed,2026-05-12T22:29:45Z,2026-05-13T14:26:51Z,"## Summary

- Annotates `pandas/_libs/algos.pyi` so it satisfies strict `disallow_untyped_defs`:
  - `Infinity` / `NegInfinity` dunder `other` → `object`
  - `pad`/`backfill`/`validate_limit` `limit` → `int | None`
  - `take_*` `fill_value` narrowed by output dtype (`int` / `float` / `bool` / `object`) — verified at runtime that e.g. `take_1d_int16_int64` rejects non-integer `fill_value`
- Adds `RankMethod` and `RankNaOption` aliases to `pandas._typing` and threads them through `rank_1d`/`rank_2d`, `algorithms.rank`, `NDFrame.rank`, `GroupBy.rank`, and `ExtensionArray._rank` (plus the masked/arrow/categorical implementations). `Series.rank(method=, na_option=)` and `DataFrame.rank(method=, na_option=)` now reject string literals outside the documented set at the type level.
- Replaces the `pandas._libs.*` wildcard in the mypy override list with explicit per-module entries. `algos` and the ~25 already-clean `_libs` modules drop out of the exemption; the remaining 20 stubs stay listed for follow-up PRs.

## Test plan

- [x] `mypy pandas` — clean
- [x] `pyright` — no new errors
- [x] `pytest pandas/tests/{frame,series}/methods/test_rank.py pandas/tests/groupby/methods/test_rank.py pandas/tests/test_take.py pandas/tests/libs/`

🤖 Generated with [Claude Code](https://claude.com/claude-code)"
65617,Feature/deprecate groupby sort default##64996,lovekesh-jindal,closed,2026-05-12T15:38:02Z,,"- [Y ] closes #64996 (Replace xxxx with the GitHub issue number)
- [ Y] [Tests added and passed](https://pandas.pydata.org/pandas-docs/dev/development/contributing_codebase.html#writing-tests) if fixing a bug or adding a new feature
- [ Y] All [code checks passed](https://pandas.pydata.org/pandas-docs/dev/development/contributing_codebase.html#pre-commit).
- [ Y] Added [type annotations](https://pandas.pydata.org/pandas-docs/dev/development/contributing_codebase.html#type-hints) to new arguments/methods/functions.
- [ Y] Added an entry in the latest `doc/source/whatsnew/vX.X.X.rst` file if fixing a bug or adding a new feature.
- [ Y] I have reviewed and followed all the [contribution guidelines](https://pandas.pydata.org/docs/dev/development/contributing.html)
- [ N] If I used AI to develop this pull request, I prompted it to follow `AGENTS.md`.
"
