pr_id,pr_author,reviewed_by,review_state,review_text,reviewed_at
7695,thecaptain789,sfc-gh-joshi,APPROVED,"Thanks!

CI failures look unrelated, I'll override them and merge.",2026-02-10T20:52:03Z
7688,sfc-gh-mvashishtha,sfc-gh-joshi,APPROVED,,2025-10-02T17:26:34Z
7687,sfc-gh-jkew,sfc-gh-mvashishtha,COMMENTED,We should use `==` for string comparisons.,2025-10-01T06:27:07Z
7687,sfc-gh-jkew,sfc-gh-mvashishtha,APPROVED,,2025-10-01T17:16:29Z
7685,sfc-gh-jkew,sfc-gh-mvashishtha,COMMENTED,,2025-10-01T06:53:10Z
7685,sfc-gh-jkew,sfc-gh-jkew,COMMENTED,,2025-10-01T06:56:45Z
7685,sfc-gh-jkew,sfc-gh-mvashishtha,APPROVED,,2025-10-01T07:05:32Z
7682,sfc-gh-joshi,sfc-gh-jkew,APPROVED,,2025-09-30T17:58:00Z
7680,sfc-gh-jkew,sfc-gh-mvashishtha,APPROVED,,2025-09-26T15:45:05Z
7679,sfc-gh-joshi,github-advanced-security[bot],COMMENTED,,2025-09-25T22:41:51Z
7679,sfc-gh-joshi,sfc-gh-mvashishtha,COMMENTED,"I have some minor comments. Also, I have some questions:

1) Have you run any benchmarks with this change? Does it solve the pathological merge case that motivated it?
1) It possible or likely that we switch to an unexpected and/or suboptimal backend during multi-dataset operations? e.g. say we switch to ray for a snowflake-pandas merge? Is there a good way to test for whether this happens in practice?",2025-09-26T15:43:58Z
7679,sfc-gh-joshi,sfc-gh-joshi,COMMENTED,,2025-09-26T16:44:34Z
7679,sfc-gh-joshi,sfc-gh-joshi,COMMENTED,,2025-09-26T16:48:44Z
7679,sfc-gh-joshi,sfc-gh-joshi,COMMENTED,,2025-09-26T16:49:06Z
7679,sfc-gh-joshi,sfc-gh-joshi,COMMENTED,,2025-09-26T16:49:18Z
7679,sfc-gh-joshi,sfc-gh-jkew,COMMENTED,,2025-09-26T20:24:12Z
7679,sfc-gh-joshi,sfc-gh-joshi,COMMENTED,,2025-09-26T20:33:02Z
7679,sfc-gh-joshi,sfc-gh-jkew,COMMENTED,,2025-09-26T20:34:46Z
7679,sfc-gh-joshi,sfc-gh-joshi,COMMENTED,,2025-09-26T20:39:50Z
7679,sfc-gh-joshi,sfc-gh-mvashishtha,COMMENTED,,2025-09-26T22:27:40Z
7679,sfc-gh-joshi,sfc-gh-joshi,COMMENTED,,2025-09-26T22:42:01Z
7679,sfc-gh-joshi,sfc-gh-mvashishtha,APPROVED,,2025-09-27T17:37:24Z
7679,sfc-gh-joshi,sfc-gh-jkew,COMMENTED,,2025-09-29T18:57:22Z
7679,sfc-gh-joshi,sfc-gh-jkew,COMMENTED,,2025-09-29T19:00:01Z
7679,sfc-gh-joshi,sfc-gh-joshi,COMMENTED,,2025-09-29T20:20:10Z
7674,sfc-gh-dpetersohn,sfc-gh-joshi,COMMENTED,,2025-09-19T17:01:52Z
7674,sfc-gh-dpetersohn,sfc-gh-dpetersohn,COMMENTED,,2025-09-19T17:12:49Z
7674,sfc-gh-dpetersohn,sfc-gh-joshi,APPROVED,,2025-09-19T17:16:12Z
7673,sfc-gh-dpetersohn,github-advanced-security[bot],COMMENTED,,2025-09-19T14:44:03Z
7673,sfc-gh-dpetersohn,sfc-gh-joshi,APPROVED,,2025-09-19T16:37:44Z
7672,sfc-gh-joshi,sfc-gh-jkew,APPROVED,,2025-09-18T21:23:34Z
7672,sfc-gh-joshi,sfc-gh-mvashishtha,APPROVED,,2025-09-18T21:28:33Z
7670,sfc-gh-mvashishtha,sfc-gh-joshi,APPROVED,,2025-09-16T20:24:20Z
7666,sfc-gh-jkew,sfc-gh-mvashishtha,COMMENTED,,2025-09-23T07:33:59Z
7666,sfc-gh-jkew,sfc-gh-jkew,COMMENTED,,2025-09-24T19:27:01Z
7666,sfc-gh-jkew,sfc-gh-joshi,COMMENTED,,2025-09-24T21:55:37Z
7666,sfc-gh-jkew,sfc-gh-joshi,COMMENTED,,2025-09-24T21:57:08Z
7666,sfc-gh-jkew,sfc-gh-mvashishtha,COMMENTED,,2025-09-24T22:22:49Z
7666,sfc-gh-jkew,sfc-gh-jkew,COMMENTED,,2025-09-25T20:15:54Z
7666,sfc-gh-jkew,sfc-gh-joshi,COMMENTED,,2025-09-25T20:56:23Z
7666,sfc-gh-jkew,sfc-gh-joshi,COMMENTED,"A few more minor nits, LGTM after they're addressed.",2025-09-25T21:03:26Z
7666,sfc-gh-jkew,sfc-gh-mvashishtha,COMMENTED,,2025-09-25T21:37:17Z
7666,sfc-gh-jkew,sfc-gh-jkew,COMMENTED,,2025-09-25T22:11:32Z
7666,sfc-gh-jkew,sfc-gh-jkew,COMMENTED,,2025-09-25T22:15:38Z
7666,sfc-gh-jkew,sfc-gh-joshi,COMMENTED,,2025-09-25T22:34:53Z
7666,sfc-gh-jkew,sfc-gh-mvashishtha,APPROVED,,2025-09-26T00:07:49Z
7666,sfc-gh-jkew,sfc-gh-jkew,COMMENTED,,2025-09-26T02:38:34Z
7665,sfc-gh-joshi,sfc-gh-mvashishtha,APPROVED,,2025-09-10T19:50:22Z
7663,sfc-gh-mvashishtha,sfc-gh-jkew,APPROVED,,2025-09-09T23:44:55Z
7662,sfc-gh-mvashishtha,sfc-gh-joshi,APPROVED,,2025-09-09T23:33:45Z
7660,sfc-gh-mvashishtha,sfc-gh-joshi,APPROVED,,2025-09-09T23:33:12Z
7658,sfc-gh-mvashishtha,github-advanced-security[bot],COMMENTED,CodeQL found more than 20 potential problems in the proposed changes. Check the [Files changed](/modin-project/modin/pull/7658/files) tab for more details.,2025-09-03T00:37:48Z
7658,sfc-gh-mvashishtha,github-advanced-security[bot],COMMENTED,,2025-09-03T22:02:27Z
7658,sfc-gh-mvashishtha,sfc-gh-joshi,COMMENTED,"One question regarding the license for forked code. Also, how much of the pandas code did you need to change besides pointing import paths to modin equivalents of pandas modules? If it was very little then we may want to make clearer from folder naming that this is essentially vendored pandas code.",2025-09-03T22:37:58Z
7658,sfc-gh-mvashishtha,sfc-gh-mvashishtha,COMMENTED,"> Also, how much of the pandas code did you need to change besides pointing import paths to modin equivalents of pandas modules? If it was very little then we may want to make clearer from folder naming that this is essentially vendored pandas code.

@sfc-gh-joshi I did make very few changes, but I don't think it's that important to point out with the directory structure that some code has been vendored from pandas. If we were to vendor an entire package I think it would make sense to put it in a new `vendored` directory. We are also putting some modified code in dataframe.py and other modified code in modin/core/computation/.",2025-09-04T21:02:40Z
7658,sfc-gh-mvashishtha,sfc-gh-joshi,APPROVED,,2025-09-04T21:23:37Z
7658,sfc-gh-mvashishtha,sfc-gh-dpetersohn,COMMENTED,,2025-09-05T14:49:05Z
7654,sfc-gh-joshi,sfc-gh-jkew,APPROVED,Makes sense to me,2025-08-27T20:18:42Z
7650,sfc-gh-joshi,sfc-gh-mvashishtha,APPROVED,,2025-08-14T18:43:54Z
7649,sfc-gh-joshi,sfc-gh-mvashishtha,COMMENTED,I think we only edit badges for patch versions.,2025-08-14T18:30:48Z
7648,sfc-gh-jkew,sfc-gh-joshi,COMMENTED,,2025-08-08T17:33:38Z
7648,sfc-gh-jkew,sfc-gh-jkew,COMMENTED,,2025-08-08T18:45:20Z
7648,sfc-gh-jkew,sfc-gh-jkew,COMMENTED,,2025-08-08T19:03:26Z
7648,sfc-gh-jkew,sfc-gh-joshi,COMMENTED,,2025-08-08T19:15:00Z
7648,sfc-gh-jkew,sfc-gh-jkew,COMMENTED,,2025-08-08T19:47:55Z
7648,sfc-gh-jkew,sfc-gh-joshi,COMMENTED,,2025-08-08T20:15:14Z
7648,sfc-gh-jkew,sfc-gh-jkew,COMMENTED,,2025-08-08T20:41:31Z
