pr_id,pr_author,reviewed_by,review_state,review_text,reviewed_at
65628,jbrockmendel,mroeschke,APPROVED,,2026-05-13T17:17:17Z
65627,jbrockmendel,mroeschke,APPROVED,,2026-05-13T16:46:55Z
65624,jbrockmendel,mroeschke,COMMENTED,,2026-05-13T16:50:18Z
65624,jbrockmendel,jbrockmendel,COMMENTED,,2026-05-13T17:04:02Z
65624,jbrockmendel,mroeschke,APPROVED,,2026-05-13T17:18:12Z
65623,jbrockmendel,mroeschke,APPROVED,,2026-05-13T16:51:05Z
65622,jbrockmendel,mroeschke,APPROVED,,2026-05-13T16:52:11Z
65621,jbrockmendel,mroeschke,APPROVED,,2026-05-13T16:53:05Z
65619,jbrockmendel,mroeschke,APPROVED,,2026-05-13T16:53:47Z
65618,jbrockmendel,Dr-Irv,COMMENTED,,2026-05-13T14:06:56Z
65618,jbrockmendel,Dr-Irv,COMMENTED,I'm fine with this - just had one question about the exclusions for `mypy`,2026-05-13T14:08:35Z
65618,jbrockmendel,jbrockmendel,COMMENTED,,2026-05-13T14:18:00Z
65618,jbrockmendel,Dr-Irv,COMMENTED,,2026-05-13T14:26:25Z
65618,jbrockmendel,Dr-Irv,APPROVED,thanks @jbrockmendel ,2026-05-13T14:26:43Z
65616,jbrockmendel,mroeschke,APPROVED,,2026-05-12T16:12:19Z
65614,jbrockmendel,mroeschke,APPROVED,,2026-05-12T16:16:14Z
65613,jbrockmendel,mroeschke,APPROVED,Thanks @jbrockmendel ,2026-05-12T16:16:59Z
65612,jbrockmendel,mroeschke,APPROVED,Thanks @jbrockmendel ,2026-05-12T16:17:37Z
65611,jbrockmendel,mroeschke,APPROVED,,2026-05-12T19:21:24Z
65610,jbrockmendel,mroeschke,APPROVED,Thanks @jbrockmendel ,2026-05-12T16:18:47Z
65605,jbrockmendel,mroeschke,APPROVED,,2026-05-12T16:21:51Z
65600,jbrockmendel,mroeschke,APPROVED,,2026-05-12T16:29:23Z
65599,jbrockmendel,mroeschke,APPROVED,,2026-05-12T16:27:37Z
65598,jbrockmendel,mroeschke,APPROVED,,2026-05-12T16:31:15Z
65596,jbrockmendel,mroeschke,APPROVED,,2026-05-12T16:25:59Z
65594,jbrockmendel,mroeschke,COMMENTED,,2026-05-12T16:24:47Z
65594,jbrockmendel,jbrockmendel,COMMENTED,,2026-05-12T17:13:15Z
65594,jbrockmendel,mroeschke,APPROVED,,2026-05-12T17:47:20Z
65591,jbrockmendel,jorisvandenbossche,COMMENTED,,2026-05-11T20:20:10Z
65591,jbrockmendel,mroeschke,APPROVED,,2026-05-12T00:27:25Z
65585,jorisvandenbossche,jbrockmendel,APPROVED,,2026-05-11T16:17:10Z
65582,jbrockmendel,mroeschke,APPROVED,,2026-05-12T16:33:06Z
65579,StanFromIreland,mroeschke,APPROVED,,2026-05-11T15:17:56Z
65578,jbrockmendel,mroeschke,APPROVED,,2026-05-11T15:34:50Z
65566,jbrockmendel,mroeschke,APPROVED,,2026-05-11T15:22:19Z
65565,jbrockmendel,mroeschke,APPROVED,,2026-05-11T15:20:26Z
65563,jbrockmendel,mroeschke,APPROVED,,2026-05-11T15:24:13Z
65562,jbrockmendel,mroeschke,APPROVED,,2026-05-11T15:39:13Z
65561,jbrockmendel,mroeschke,APPROVED,,2026-05-11T15:43:01Z
65560,jbrockmendel,mroeschke,APPROVED,,2026-05-11T15:45:49Z
65556,Alvaro-Kothe,jbrockmendel,COMMENTED,,2026-05-11T21:03:38Z
65556,Alvaro-Kothe,Alvaro-Kothe,COMMENTED,,2026-05-11T21:42:07Z
65555,sun-0-set,jbrockmendel,COMMENTED,,2026-05-11T21:04:59Z
65555,sun-0-set,jbrockmendel,COMMENTED,,2026-05-11T21:05:56Z
65555,sun-0-set,sun-0-set,COMMENTED,,2026-05-12T02:00:59Z
65554,pradipgirhe,rhshadrach,CHANGES_REQUESTED,"No strong objection, but the new error message doesn't add anything significant to me and is more churn than anything else. I'd opt for making no change here, but okay others think this is an improvement.",2026-05-09T14:49:08Z
65549,jbrockmendel,mroeschke,APPROVED,,2026-05-08T23:51:38Z
65548,jbrockmendel,mroeschke,APPROVED,,2026-05-11T15:25:26Z
65547,jbrockmendel,mroeschke,APPROVED,,2026-05-08T23:52:38Z
65545,jbrockmendel,rhshadrach,APPROVED,lgtm,2026-05-09T11:58:50Z
65544,jbrockmendel,mroeschke,APPROVED,,2026-05-08T23:56:20Z
65543,jbrockmendel,mroeschke,APPROVED,,2026-05-08T23:58:01Z
65542,jbrockmendel,mroeschke,APPROVED,,2026-05-08T23:59:31Z
65541,jbrockmendel,mroeschke,APPROVED,,2026-05-09T00:00:35Z
65540,jbrockmendel,mroeschke,APPROVED,,2026-05-09T00:01:32Z
65539,jbrockmendel,mroeschke,APPROVED,,2026-05-09T00:02:25Z
65538,jbrockmendel,rhshadrach,COMMENTED,,2026-05-09T11:41:57Z
65538,jbrockmendel,rhshadrach,APPROVED,lgtm,2026-05-09T15:31:55Z
65538,jbrockmendel,mroeschke,APPROVED,,2026-05-11T15:47:32Z
65537,jbrockmendel,mroeschke,APPROVED,,2026-05-09T00:03:50Z
65535,jbrockmendel,mroeschke,APPROVED,,2026-05-09T00:05:06Z
65534,jbrockmendel,mroeschke,APPROVED,,2026-05-09T00:06:01Z
65533,jbrockmendel,mroeschke,APPROVED,,2026-05-09T00:07:49Z
65533,jbrockmendel,rhshadrach,APPROVED,lgtm,2026-05-09T11:52:55Z
65532,jbrockmendel,mroeschke,COMMENTED,,2026-05-11T15:51:36Z
65531,jbrockmendel,mroeschke,APPROVED,,2026-05-09T00:08:10Z
65527,jbrockmendel,mroeschke,APPROVED,,2026-05-09T00:09:37Z
65522,oskarseweryn,jbrockmendel,APPROVED,,2026-05-08T17:52:38Z
65520,ayshih,jorisvandenbossche,APPROVED,,2026-05-08T07:49:28Z
